,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
176,Juwan Johnson,NOR,TE,26,2,0,0,0,0,0,0,0,0,,0,12,6,83,13.83,0,0,0,0,,,8,14.3,14.3,11.3,,18,
177,Rhamondre Stevenson,NWE,RB,24,2,0,0,0,0,0,0,17,72,4.24,0,4,3,6,2.00,0,0,0,0,,,8,10.8,10.8,9.3,,52,
178,Daniel Bellinger,NYG,TE,22,2,1,0,0,0,0,0,0,0,,0,1,1,16,16.00,1,0,0,1,,,8,8.6,8.6,8.1,,20,
179,Elijah Moore,NYJ,WR,22,2,2,0,0,0,0,0,1,-6,-6.00,0,12,8,90,11.25,0,0,0,0,,,8,16.4,16.4,12.4,,68,
180,DeVonta Smith,PHI,WR,24,2,2,0,0,0,0,0,0,0,,0,11,7,80,11.43,0,0,0,0,,,8,15.0,15.0,11.5,,70,
181,Chase Claypool,PIT,WR,24,2,2,0,0,0,0,0,6,36,6.00,0,12,8,44,5.50,0,0,0,0,,,8,16.0,16.0,12.0,,71,
182,Mack Hollins,LVR,WR,29,2,1,0,0,0,0,0,0,0,,0,9,6,82,13.67,0,0,0,0,,,8,14.2,14.2,11.2,,69,
183,Rashaad Penny,SEA,RB,26,2,2,0,0,0,0,0,18,75,4.17,0,3,2,7,3.50,0,1,0,0,,,8,10.2,10.2,9.2,,50,
185,Ian Thomas,CAR,TE,26,2,2,0,0,0,0,0,0,0,,0,6,3,66,22.00,0,0,0,0,,,7,9.6,9.6,8.1,,23,
186,Hayden Hurst,CIN,TE,29,2,2,0,0,0,0,0,0,0,,0,15,10,70,7.00,0,0,0,0,,,7,17.0,17.0,12.0,,22,
187,Allen Lazard ,GNB,WR,27,1,1,0,0,0,0,0,0,0,,0,3,2,13,6.50,1,0,0,1,,,7,9.3,9.3,8.3,,73,
188,Evan Engram,JAX,TE,28,2,2,0,0,0,0,0,0,0,,0,12,11,74,6.73,0,0,0,0,,,7,18.4,18.4,12.9,,21,
189,Marvin Jones,JAX,WR,32,2,2,0,0,0,0,0,0,0,,0,11,7,71,10.14,0,0,0,0,,,7,14.1,14.1,10.6,,75,
190,JuJu Smith-Schuster,KAN,WR,26,2,2,0,0,0,0,0,0,0,,0,11,9,89,9.89,0,2,1,0,,,7,15.9,16.9,11.4,,76,
191,Ty Montgomery,NWE,WR,29,1,0,0,0,0,0,0,2,-2,-1.00,0,4,3,15,5.00,1,0,0,1,,,7,10.3,10.3,8.8,,74,
192,Keenan Allen,LAC,WR,30,1,1,0,0,0,0,0,0,0,,0,4,4,66,16.50,0,0,0,0,,,7,10.6,10.6,8.6,,77,
193,Jauan Jennings,SFO,WR,25,2,1,0,0,0,0,0,0,0,,0,8,5,66,13.20,0,0,0,0,,,7,11.6,11.6,9.1,,78,
