,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
58,Marcus Mariota,ATL,QB,29,8,8,112,178,1432,10,6,55,280,5.09,3,0,0,0,,0,8,3,3,,2,129,129.3,144.3,135.3,7,8,58
59,Gabriel Davis,BUF,WR,23,6,6,0,0,0,0,0,0,0,,0,33,16,418,26.13,4,0,0,4,,,66,81.8,84.8,73.8,6,23,59
61,Dallas Goedert,PHI,TE,27,7,7,0,0,0,0,0,0,0,,0,41,32,421,13.16,1,0,0,1,,,48,80.1,83.1,64.1,6,7,60
62,Daniel Jones,NYG,QB,25,8,8,143,220,1399,6,2,64,363,5.67,3,0,0,0,,0,3,2,3,,1,128,128.3,138.3,130.3,6,9,61
63,Mike Gesicki,MIA,TE,27,8,1,0,0,0,0,0,0,0,,0,30,21,235,11.19,4,0,0,4,,,48,68.5,71.5,58.0,5,8,62
64,D.J. Moore,CAR,WR,25,8,8,0,0,0,0,0,7,39,5.57,0,65,33,425,12.88,3,0,0,3,,,64,97.4,100.4,80.9,5,24,63
65,Ezekiel Elliott,DAL,RB,27,7,7,0,0,0,0,0,109,443,4.06,4,8,6,32,5.33,0,0,0,4,,,72,77.5,80.5,74.5,4,23,64
66,Jerry Jeudy,DEN,WR,23,8,8,0,0,0,0,0,1,1,1.00,0,54,30,449,14.97,3,0,0,3,,,63,93.0,96.0,78.0,4,25,65
67,David Njoku,CLE,TE,26,7,7,0,0,0,0,0,1,-6,-6.00,0,42,34,418,12.29,1,1,1,1,,,45,79.2,83.2,62.2,3,9,66
68,D.K. Metcalf,SEA,WR,25,8,8,0,0,0,0,0,0,0,,0,62,37,473,12.78,3,2,2,3,,,61,98.3,103.3,79.8,2,26,67
69,Trevor Lawrence,JAX,QB,23,8,8,173,277,1840,10,6,27,99,3.67,3,0,0,0,,0,5,4,3,,1,124,123.5,136.5,129.5,1,10,68
70,Jakobi Meyers,NWE,WR,26,6,5,0,0,0,0,0,1,7,7.00,0,45,35,415,11.86,3,0,0,3,,,60,95.2,98.2,77.7,1,27,69
71,Pat Freiermuth,PIT,TE,24,7,4,0,0,0,0,0,0,0,,0,48,32,367,11.47,1,0,0,1,,,43,74.7,77.7,58.7,1,10,70
72,Gerald Everett,LAC,TE,28,7,5,0,0,0,0,0,0,0,,0,45,27,305,11.30,2,0,0,2,,,43,69.5,72.5,56.0,1,11,71
73,Curtis Samuel,WAS,WR,26,8,6,0,0,0,0,0,17,106,6.24,0,62,42,390,9.29,2,1,1,2,,,60,101.6,108.6,80.6,,28,72
74,JuJu Smith-Schuster,KAN,WR,26,7,7,0,0,0,0,0,0,0,,0,48,34,494,14.53,2,2,1,2,,,59,93.4,97.4,76.4,,29,73
75,Justin Fields,CHI,QB,23,8,8,93,159,1199,7,6,76,424,5.58,3,0,0,0,,0,11,1,3,,,122,122.4,135.4,128.4,,11,74
76,Tory Carter,TEN,,23,5,3,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,2,75
77,George Kittle,SFO,TE,29,6,6,0,0,0,0,0,0,0,,0,39,28,319,11.39,2,1,1,2,,,42,69.9,73.9,55.9,,12,76
78,Alex Armah,WAS,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,1,77
